Age,Department,JobRole,OverTime,BusinessTravel,JobSatisfaction,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,Attrition,event,time
32,Research & Development,Research Scientist,Yes,Travel_Frequently,1,3,10,6,Yes,1,10
42,Sales,Sales Executive,No,Travel_Rarely,2,3,9,4,No,0,9
44,Research & Development,Healthcare Representative,No,Travel_Rarely,4,3,22,5,No,0,22
46,Sales,Manager,No,Travel_Rarely,1,2,2,2,No,0,2
33,Research & Development,Laboratory Technician,No,Travel_Rarely,4,3,1,0,No,0,1
44,Research & Development,Healthcare Representative,Yes,Travel_Rarely,4,4,4,1,No,0,4
30,Research & Development,Laboratory Technician,No,Travel_Rarely,3,3,10,1,No,0,10
39,Sales,Sales Representative,No,Travel_Rarely,4,4,1,0,Yes,1,1
24,Research & Development,Research Scientist,Yes,Travel_Rarely,4,2,2,2,Yes,1,2
43,Research & Development,Research Scientist,No,Travel_Rarely,3,2,5,1,No,0,5
50,Sales,Sales Representative,Yes,Travel_Rarely,3,3,3,0,Yes,1,3
35,Sales,Sales Representative,No,Travel_Rarely,4,3,2,2,No,0,2
36,Research & Development,Research Scientist,Yes,Travel_Rarely,1,4,1,0,No,0,1
33,Sales,Sales Executive,No,Travel_Frequently,1,3,5,1,No,0,5
35,Research & Development,Laboratory Technician,No,Travel_Rarely,4,3,1,0,No,0,1
27,Research & Development,Laboratory Technician,No,Travel_Rarely,1,3,1,0,No,0,1
26,Research & Development,Laboratory Technician,No,Travel_Rarely,3,2,1,0,Yes,1,1
27,Sales,Sales Executive,No,Travel_Frequently,3,3,9,1,No,0,9
30,Research & Development,Laboratory Technician,No,Travel_Frequently,4,3,12,3,No,0,12
41,Research & Development,Research Director,No,Travel_Rarely,3,3,22,15,Yes,1,22
34,Sales,Sales Executive,No,Non-Travel,3,3,9,8,No,0,9
37,Research & Development,Research Scientist,No,Travel_Rarely,2,3,1,0,No,0,1
46,Sales,Sales Executive,Yes,Travel_Frequently,4,3,9,0,No,0,9
35,Research & Development,Laboratory Technician,No,Travel_Rarely,4,3,1,0,No,0,1
48,Research & Development,Laboratory Technician,Yes,Travel_Rarely,3,3,1,0,Yes,1,1
28,Research & Development,Laboratory Technician,Yes,Travel_Rarely,3,2,2,2,Yes,1,2
44,Sales,Sales Executive,Yes,Travel_Rarely,1,2,4,1,No,0,4
35,Research & Development,Healthcare Representative,Yes,Non-Travel,1,3,4,2,No,0,4
26,Sales,Sales Executive,Yes,Travel_Rarely,4,2,2,0,No,0,2
33,Research & Development,Research Director,Yes,Travel_Frequently,4,3,15,8,No,0,15
35,Sales,Sales Executive,No,Travel_Frequently,1,2,9,1,No,0,9
35,Research & Development,Laboratory Technician,Yes,Travel_Rarely,1,3,2,2,No,0,2
31,Research & Development,Laboratory Technician,No,Travel_Rarely,4,2,7,1,No,0,7
37,Research & Development,Manufacturing Director,No,Travel_Rarely,3,4,7,0,No,0,7
32,Research & Development,Manufacturing Director,Yes,Travel_Rarely,4,3,9,7,No,0,9
38,Research & Development,Laboratory Technician,No,Travel_Frequently,4,3,10,9,No,0,10
50,Research & Development,Research Director,Yes,Travel_Rarely,3,2,27,13,No,0,27
59,Sales,Sales Executive,No,Travel_Rarely,1,2,21,7,No,0,21
36,Research & Development,Healthcare Representative,No,Travel_Rarely,3,3,17,12,No,0,17
55,Research & Development,Manager,Yes,Travel_Rarely,3,3,5,0,No,0,5
36,Research & Development,Manufacturing Director,No,Travel_Frequently,2,3,6,0,No,0,6
45,Research & Development,Research Scientist,No,Travel_Rarely,1,3,1,0,No,0,1
35,Research & Development,Research Scientist,No,Travel_Frequently,1,2,3,1,No,0,3
36,Research & Development,Research Scientist,Yes,Travel_Rarely,3,2,1,0,Yes,1,1
59,Sales,Sales Executive,No,Travel_Frequently,3,2,4,1,No,0,4
29,Research & Development,Research Scientist,No,Travel_Rarely,2,3,5,0,No,0,5
31,Research & Development,Research Scientist,No,Travel_Rarely,2,3,1,1,No,0,1
32,Research & Development,Research Scientist,No,Travel_Rarely,2,3,10,0,No,0,10
36,Research & Development,Laboratory Technician,No,Travel_Rarely,4,3,1,0,No,0,1
31,Research & Development,Manufacturing Director,No,Travel_Rarely,4,3,11,1,No,0,11
35,Sales,Sales Executive,No,Travel_Rarely,1,3,15,2,No,0,15
45,Research & Development,Research Director,Yes,Travel_Rarely,1,4,0,0,No,0,0
37,Research & Development,Research Director,No,Travel_Rarely,3,4,5,0,No,0,5
46,Human Resources,Human Resources,Yes,Travel_Rarely,2,3,4,0,No,0,4
30,Research & Development,Laboratory Technician,Yes,Travel_Rarely,4,2,10,3,No,0,10
35,Research & Development,Research Scientist,No,Travel_Rarely,3,3,6,0,No,0,6
55,Sales,Sales Executive,No,Travel_Rarely,4,3,1,1,No,0,1
38,Research & Development,Research Scientist,Yes,Non-Travel,4,3,13,1,No,0,13
34,Research & Development,Manufacturing Director,No,Travel_Rarely,2,3,5,1,No,0,5
56,Research & Development,Manufacturing Director,No,Travel_Rarely,4,2,6,0,No,0,6
23,Sales,Sales Representative,No,Travel_Rarely,1,3,0,0,No,0,0
51,Research & Development,Laboratory Technician,No,Travel_Rarely,4,3,4,0,No,0,4
30,Research & Development,Healthcare Representative,No,Travel_Rarely,4,3,11,10,No,0,11
46,Sales,Sales Executive,No,Travel_Rarely,4,3,9,4,Yes,1,9
40,Research & Development,Healthcare Representative,No,Travel_Frequently,2,2,22,11,No,0,22
51,Sales,Sales Executive,Yes,Travel_Rarely,4,1,10,1,No,0,10
30,Sales,Sales Executive,Yes,Travel_Rarely,2,2,11,2,No,0,11
46,Research & Development,Healthcare Representative,Yes,Travel_Frequently,1,2,10,9,No,0,10
32,Sales,Sales Executive,No,Travel_Rarely,3,3,11,5,No,0,11
54,Research & Development,Research Director,No,Travel_Rarely,3,1,4,0,No,0,4
24,Sales,Sales Executive,No,Travel_Rarely,3,2,3,0,No,0,3
28,Sales,Sales Executive,No,Non-Travel,3,4,5,0,No,0,5
58,Sales,Sales Executive,No,Travel_Rarely,3,2,37,1,No,0,37
44,Research & Development,Laboratory Technician,No,Non-Travel,2,4,3,1,No,0,3
37,Human Resources,Human Resources,Yes,Travel_Rarely,1,3,3,0,Yes,1,3
32,Research & Development,Research Scientist,No,Travel_Rarely,1,3,1,0,No,0,1
20,Research & Development,Laboratory Technician,Yes,Travel_Frequently,4,3,1,1,Yes,1,1
34,Research & Development,Research Scientist,No,Travel_Rarely,3,3,16,2,No,0,16
37,Research & Development,Healthcare Representative,No,Non-Travel,4,4,1,0,No,0,1
59,Human Resources,Manager,No,Non-Travel,4,3,3,2,No,0,3
50,Research & Development,Research Director,Yes,Travel_Frequently,2,2,8,0,No,0,8
25,Sales,Sales Executive,Yes,Travel_Rarely,3,3,6,0,Yes,1,6
25,Research & Development,Research Scientist,No,Travel_Rarely,4,3,2,2,No,0,2
22,Research & Development,Laboratory Technician,No,Travel_Rarely,4,3,0,0,No,0,0
51,Research & Development,Healthcare Representative,No,Travel_Frequently,1,2,13,12,No,0,13
34,Research & Development,Laboratory Technician,Yes,Travel_Frequently,3,3,9,0,Yes,1,9
54,Human Resources,Manager,Yes,Non-Travel,4,3,5,4,No,0,5
24,Research & Development,Laboratory Technician,No,Travel_Rarely,3,3,5,1,No,0,5
34,Research & Development,Research Scientist,No,Travel_Rarely,2,3,1,0,No,0,1
37,Sales,Sales Executive,No,Travel_Rarely,4,3,5,1,No,0,5
34,Research & Development,Manager,No,Travel_Rarely,1,3,11,5,No,0,11
36,Sales,Sales Executive,No,Travel_Frequently,4,3,9,2,No,0,9
36,Research & Development,Laboratory Technician,No,Travel_Rarely,4,3,1,0,No,0,1
43,Sales,Manager,Yes,Travel_Frequently,4,4,25,4,No,0,25
30,Research & Development,Research Scientist,No,Travel_Frequently,3,2,10,0,No,0,10
33,Sales,Sales Executive,No,Non-Travel,2,4,7,0,No,0,7
56,Research & Development,Research Scientist,Yes,Travel_Rarely,2,3,5,4,Yes,1,5
51,Research & Development,Research Director,No,Travel_Rarely,3,3,20,15,No,0,20
31,Sales,Sales Executive,Yes,Travel_Rarely,3,2,7,7,Yes,1,7
26,Research & Development,Research Scientist,No,Travel_Rarely,2,2,5,4,No,0,5
58,Research & Development,Healthcare Representative,No,Travel_Rarely,4,2,40,15,Yes,1,40
19,Sales,Sales Representative,Yes,Travel_Rarely,3,2,0,0,Yes,1,0
22,Research & Development,Laboratory Technician,No,Travel_Rarely,4,3,2,2,No,0,2
49,Research & Development,Manufacturing Director,No,Travel_Rarely,1,2,15,5,No,0,15
43,Research & Development,Research Scientist,No,Travel_Frequently,3,3,3,1,No,0,3
50,Sales,Sales Executive,No,Travel_Frequently,4,3,2,2,No,0,2
31,Sales,Sales Executive,Yes,Travel_Rarely,3,3,2,2,Yes,1,2
41,Sales,Sales Executive,Yes,Travel_Rarely,3,3,9,0,No,0,9
26,Human Resources,Human Resources,No,Travel_Rarely,3,3,8,5,No,0,8
36,Research & Development,Manufacturing Director,No,Travel_Rarely,2,3,3,0,No,0,3
51,Research & Development,Manufacturing Director,No,Travel_Frequently,4,3,4,0,Yes,1,4
39,Sales,Sales Executive,No,Travel_Rarely,3,4,15,5,No,0,15
25,Sales,Sales Executive,No,Travel_Rarely,3,3,2,2,No,0,2
30,Human Resources,Human Resources,Yes,Travel_Rarely,4,1,11,4,No,0,11
32,Research & Development,Laboratory Technician,No,Travel_Rarely,1,4,5,0,Yes,1,5
45,Research & Development,Research Scientist,No,Travel_Rarely,4,2,6,0,No,0,6
38,Research & Development,Research Scientist,Yes,Travel_Rarely,3,3,3,2,No,0,3
30,Research & Development,Research Scientist,No,Travel_Rarely,3,2,5,0,No,0,5
32,Sales,Sales Executive,No,Travel_Frequently,4,4,8,0,No,0,8
30,Research & Development,Research Scientist,No,Travel_Rarely,1,3,3,2,No,0,3
30,Research & Development,Laboratory Technician,No,Travel_Rarely,4,3,5,1,No,0,5
41,Research & Development,Manager,No,Travel_Frequently,1,2,7,7,No,0,7
41,Research & Development,Laboratory Technician,No,Travel_Rarely,1,3,5,1,No,0,5
19,Research & Development,Laboratory Technician,No,Travel_Rarely,2,3,1,0,No,0,1
40,Research & Development,Research Scientist,No,Travel_Frequently,2,3,20,2,No,0,20
35,Sales,Sales Executive,No,Travel_Rarely,2,3,10,0,No,0,10
53,Sales,Sales Representative,Yes,Travel_Rarely,3,1,7,4,No,0,7
45,Research & Development,Laboratory Technician,No,Travel_Rarely,2,1,17,0,No,0,17
32,Sales,Sales Executive,No,Travel_Frequently,4,3,9,3,No,0,9
29,Research & Development,Manufacturing Director,No,Non-Travel,3,3,10,0,No,0,10
51,Research & Development,Manufacturing Director,No,Travel_Rarely,3,3,1,0,No,0,1
58,Research & Development,Research Scientist,Yes,Travel_Rarely,2,2,1,0,No,0,1
40,Sales,Sales Executive,No,Travel_Rarely,4,2,12,2,No,0,12
34,Sales,Sales Representative,No,Travel_Frequently,3,3,4,1,No,0,4
22,Research & Development,Research Scientist,No,Travel_Rarely,4,3,2,2,No,0,2
27,Research & Development,Research Scientist,No,Non-Travel,2,1,2,2,No,0,2
28,Research & Development,Research Scientist,No,Travel_Rarely,4,1,5,0,No,0,5
57,Research & Development,Healthcare Representative,Yes,Travel_Rarely,4,1,5,1,No,0,5
27,Research & Development,Research Scientist,Yes,Non-Travel,3,2,1,0,No,0,1
50,Research & Development,Manager,No,Travel_Rarely,2,3,5,4,No,0,5
41,Research & Development,Research Scientist,No,Travel_Rarely,3,3,9,1,No,0,9
30,Sales,Sales Executive,No,Travel_Rarely,4,3,10,7,No,0,10
38,Sales,Sales Executive,No,Travel_Rarely,4,4,8,0,No,0,8
32,Research & Development,Research Scientist,No,Travel_Rarely,3,3,5,1,No,0,5
27,Research & Development,Research Scientist,Yes,Travel_Rarely,2,2,5,1,No,0,5
19,Sales,Sales Representative,No,Travel_Frequently,1,4,0,0,Yes,1,0
36,Research & Development,Laboratory Technician,No,Travel_Frequently,2,2,8,7,No,0,8
30,Research & Development,Laboratory Technician,No,Non-Travel,1,3,12,6,No,0,12
45,Sales,Sales Executive,Yes,Travel_Rarely,1,4,5,0,No,0,5
56,Research & Development,Research Scientist,Yes,Travel_Rarely,1,3,2,2,No,0,2
33,Research & Development,Research Scientist,No,Travel_Rarely,4,4,3,0,No,0,3
19,Research & Development,Laboratory Technician,No,Travel_Rarely,4,2,1,1,Yes,1,1
46,Sales,Sales Executive,No,Travel_Rarely,1,3,24,15,No,0,24
38,Research & Development,Laboratory Technician,No,Travel_Rarely,4,3,2,2,No,0,2
31,Research & Development,Research Scientist,Yes,Travel_Rarely,4,3,4,0,No,0,4
34,Research & Development,Research Scientist,No,Travel_Rarely,2,3,3,1,No,0,3
41,Sales,Sales Representative,Yes,Travel_Rarely,2,2,4,0,Yes,1,4
50,Research & Development,Laboratory Technician,No,Travel_Rarely,3,2,3,0,No,0,3
53,Research & Development,Manufacturing Director,No,Travel_Rarely,1,3,4,1,No,0,4
33,Research & Development,Research Scientist,No,Travel_Rarely,2,3,8,1,No,0,8
40,Research & Development,Manager,No,Travel_Rarely,3,3,20,9,No,0,20
55,Research & Development,Research Director,No,Travel_Rarely,2,3,24,2,No,0,24
34,Research & Development,Manufacturing Director,No,Travel_Frequently,3,2,10,1,No,0,10
51,Research & Development,Healthcare Representative,No,Travel_Rarely,2,3,7,1,No,0,7
52,Research & Development,Manager,No,Travel_Rarely,3,3,33,11,No,0,33
27,Research & Development,Research Scientist,No,Travel_Rarely,2,2,7,0,No,0,7
35,Research & Development,Manufacturing Director,Yes,Travel_Rarely,3,3,1,0,Yes,1,1
43,Research & Development,Research Scientist,No,Non-Travel,4,4,5,2,No,0,5
45,Research & Development,Manager,No,Non-Travel,4,3,20,11,No,0,20
37,Research & Development,Research Scientist,Yes,Travel_Rarely,1,2,8,1,No,0,8
35,Research & Development,Laboratory Technician,No,Travel_Frequently,2,3,6,1,No,0,6
42,Research & Development,Manufacturing Director,No,Non-Travel,3,3,5,0,No,0,5
38,Research & Development,Manufacturing Director,No,Travel_Rarely,3,3,1,0,No,0,1
38,Research & Development,Manufacturing Director,No,Travel_Rarely,4,1,7,1,No,0,7
27,Research & Development,Manufacturing Director,No,Travel_Frequently,1,3,2,2,No,0,2
49,Research & Development,Manufacturing Director,Yes,Non-Travel,4,3,7,1,No,0,7
34,Research & Development,Research Scientist,Yes,Travel_Frequently,3,4,5,2,No,0,5
40,Research & Development,Laboratory Technician,Yes,Travel_Rarely,4,4,7,3,No,0,7
38,Research & Development,Healthcare Representative,Yes,Travel_Rarely,1,3,1,0,Yes,1,1
29,Sales,Sales Executive,No,Travel_Rarely,4,2,10,1,Yes,1,10
22,Research & Development,Research Scientist,Yes,Travel_Rarely,2,2,4,2,No,0,4
36,Research & Development,Laboratory Technician,No,Travel_Frequently,4,3,8,1,No,0,8
40,Research & Development,Healthcare Representative,No,Non-Travel,4,1,3,0,No,0,3
46,Research & Development,Healthcare Representative,No,Travel_Rarely,1,3,4,0,No,0,4
32,Sales,Sales Executive,No,Travel_Rarely,4,2,14,9,Yes,1,14
30,Research & Development,Manufacturing Director,No,Non-Travel,3,3,11,5,No,0,11
27,Sales,Sales Executive,No,Travel_Frequently,3,3,7,0,No,0,7
51,Research & Development,Research Director,No,Travel_Rarely,2,1,10,4,No,0,10
30,Research & Development,Research Scientist,Yes,Travel_Rarely,1,3,5,0,Yes,1,5
41,Sales,Manager,Yes,Travel_Rarely,4,3,1,0,No,0,1
30,Sales,Sales Executive,No,Travel_Frequently,1,2,6,0,Yes,1,6
29,Research & Development,Research Scientist,No,Travel_Rarely,3,2,6,1,Yes,1,6
45,Sales,Sales Executive,No,Non-Travel,4,3,19,12,No,0,19
54,Sales,Sales Executive,No,Travel_Rarely,1,3,6,0,No,0,6
36,Research & Development,Laboratory Technician,No,Travel_Rarely,2,4,13,3,No,0,13
33,Research & Development,Research Scientist,No,Travel_Rarely,2,3,3,1,No,0,3
37,Research & Development,Research Director,Yes,Travel_Frequently,4,3,10,0,No,0,10
38,Sales,Sales Executive,No,Travel_Rarely,3,2,16,5,No,0,16
31,Research & Development,Manufacturing Director,No,Non-Travel,3,3,5,1,No,0,5
59,Research & Development,Research Scientist,No,Travel_Rarely,4,3,1,0,No,0,1
37,Sales,Sales Representative,No,Travel_Frequently,4,3,9,5,No,0,9
29,Sales,Sales Executive,No,Travel_Frequently,4,3,11,4,No,0,11
35,Sales,Sales Executive,No,Travel_Frequently,3,4,10,0,No,0,10
29,Research & Development,Research Scientist,Yes,Travel_Rarely,4,2,4,0,Yes,1,4
52,Research & Development,Laboratory Technician,No,Travel_Rarely,4,2,2,2,No,0,2
42,Research & Development,Manager,No,Travel_Rarely,4,3,22,11,No,0,22
59,Human Resources,Human Resources,No,Travel_Rarely,3,2,2,2,No,0,2
50,Sales,Manager,No,Travel_Rarely,4,2,7,0,No,0,7
33,Research & Development,Laboratory Technician,Yes,Travel_Rarely,4,1,5,0,Yes,1,5
43,Sales,Manager,Yes,Travel_Rarely,4,3,17,1,No,0,17
33,Research & Development,Laboratory Technician,No,Travel_Rarely,1,4,9,1,Yes,1,9
52,Sales,Manager,Yes,Non-Travel,3,4,33,15,No,0,33
32,Sales,Sales Representative,No,Travel_Rarely,2,3,4,1,No,0,4
32,Research & Development,Laboratory Technician,Yes,Travel_Rarely,3,1,3,1,Yes,1,3
39,Research & Development,Laboratory Technician,No,Travel_Rarely,3,3,3,1,No,0,3
32,Sales,Sales Executive,No,Non-Travel,4,3,3,2,No,0,3
41,Research & Development,Research Scientist,No,Travel_Rarely,1,2,1,0,No,0,1
40,Research & Development,Research Scientist,No,Travel_Rarely,4,3,9,4,No,0,9
45,Research & Development,Manager,No,Travel_Rarely,4,3,24,1,No,0,24
31,Research & Development,Research Director,No,Travel_Frequently,3,3,2,2,No,0,2
33,Research & Development,Research Scientist,No,Travel_Rarely,4,2,2,0,No,0,2
34,Research & Development,Manufacturing Director,No,Travel_Rarely,1,3,11,5,No,0,11
37,Research & Development,Research Scientist,No,Travel_Rarely,1,2,3,0,No,0,3
45,Research & Development,Manufacturing Director,No,Travel_Frequently,3,3,3,0,No,0,3
37,Research & Development,Manufacturing Director,No,Travel_Frequently,3,3,1,0,Yes,1,1
39,Research & Development,Healthcare Representative,No,Travel_Frequently,3,3,19,11,No,0,19
29,Research & Development,Research Scientist,No,Travel_Rarely,4,3,6,1,No,0,6
42,Research & Development,Research Scientist,Yes,Travel_Rarely,1,3,3,0,No,0,3
29,Sales,Sales Executive,No,Travel_Rarely,4,3,3,0,No,0,3
25,Research & Development,Manufacturing Director,No,Travel_Rarely,3,3,4,1,No,0,4
42,Research & Development,Laboratory Technician,Yes,Travel_Rarely,1,3,9,7,No,0,9
40,Research & Development,Research Director,No,Travel_Rarely,3,3,21,3,No,0,21
51,Research & Development,Research Scientist,No,Travel_Rarely,4,2,1,0,No,0,1
31,Research & Development,Laboratory Technician,No,Travel_Frequently,2,4,5,1,Yes,1,5
32,Research & Development,Laboratory Technician,No,Travel_Frequently,2,1,5,0,No,0,5
38,Sales,Sales Executive,No,Non-Travel,4,3,8,7,No,0,8
32,Research & Development,Laboratory Technician,No,Travel_Rarely,1,3,6,0,No,0,6
46,Sales,Manager,Yes,Travel_Rarely,2,2,7,7,No,0,7
28,Research & Development,Laboratory Technician,No,Travel_Rarely,3,1,0,0,Yes,1,0
29,Sales,Sales Executive,No,Travel_Rarely,2,3,0,0,No,0,0
31,Research & Development,Healthcare Representative,No,Travel_Rarely,4,3,9,7,No,0,9
25,Research & Development,Healthcare Representative,No,Non-Travel,1,3,6,1,No,0,6
45,Research & Development,Healthcare Representative,Yes,Travel_Rarely,4,3,20,4,No,0,20
36,Research & Development,Laboratory Technician,No,Travel_Rarely,4,3,15,10,No,0,15
55,Research & Development,Manager,Yes,Travel_Rarely,1,3,36,4,No,0,36
47,Research & Development,Manager,Yes,Non-Travel,2,2,10,9,Yes,1,10
28,Research & Development,Research Scientist,No,Travel_Rarely,4,2,5,0,No,0,5
37,Sales,Sales Executive,No,Travel_Rarely,4,4,5,0,No,0,5
21,Research & Development,Research Scientist,No,Travel_Rarely,3,4,3,1,No,0,3
37,Research & Development,Research Director,Yes,Non-Travel,4,3,5,0,No,0,5
35,Research & Development,Manager,No,Travel_Rarely,2,2,7,6,No,0,7
38,Sales,Sales Executive,Yes,Travel_Rarely,1,3,8,7,No,0,8
26,Research & Development,Manufacturing Director,No,Travel_Frequently,2,1,6,1,No,0,6
50,Research & Development,Research Director,No,Travel_Rarely,2,2,10,1,No,0,10
53,Research & Development,Research Director,Yes,Travel_Rarely,3,2,5,1,No,0,5
42,Sales,Sales Executive,No,Travel_Rarely,3,3,20,11,No,0,20
29,Sales,Sales Executive,No,Travel_Frequently,4,2,10,0,No,0,10
55,Research & Development,Laboratory Technician,Yes,Travel_Rarely,4,3,10,0,No,0,10
26,Research & Development,Healthcare Representative,Yes,Travel_Frequently,1,3,5,3,No,0,5
37,Research & Development,Research Scientist,No,Travel_Rarely,4,3,17,5,No,0,17
44,Research & Development,Laboratory Technician,Yes,Travel_Frequently,3,1,1,0,Yes,1,1
38,Research & Development,Healthcare Representative,No,Travel_Rarely,4,3,2,1,No,0,2
26,Research & Development,Laboratory Technician,Yes,Travel_Rarely,2,3,3,0,Yes,1,3
28,Research & Development,Research Scientist,No,Travel_Rarely,4,3,5,0,No,0,5
49,Research & Development,Research Director,Yes,Travel_Frequently,1,3,3,1,No,0,3
36,Research & Development,Research Scientist,No,Travel_Rarely,2,3,8,7,No,0,8
31,Sales,Sales Representative,No,Travel_Frequently,2,2,2,2,No,0,2
26,Sales,Sales Executive,Yes,Travel_Rarely,4,3,8,7,Yes,1,8
37,Research & Development,Research Scientist,Yes,Travel_Frequently,4,2,4,1,No,0,4
42,Sales,Sales Executive,No,Travel_Frequently,2,4,20,4,No,0,20
18,Research & Development,Laboratory Technician,No,Travel_Rarely,3,3,0,0,Yes,1,0
35,Sales,Sales Executive,No,Travel_Rarely,2,2,11,6,No,0,11
36,Research & Development,Laboratory Technician,No,Travel_Frequently,4,3,1,0,No,0,1
51,Research & Development,Manufacturing Director,No,Travel_Rarely,2,3,4,1,No,0,4
41,Sales,Manager,No,Travel_Rarely,2,3,22,0,No,0,22
18,Sales,Sales Representative,No,Travel_Rarely,3,3,0,0,No,0,0
28,Research & Development,Healthcare Representative,No,Travel_Rarely,1,3,8,0,No,0,8
31,Sales,Sales Executive,No,Travel_Rarely,4,2,8,7,No,0,8
39,Research & Development,Healthcare Representative,No,Travel_Rarely,4,2,18,3,No,0,18
36,Research & Development,Laboratory Technician,No,Non-Travel,2,3,9,0,No,0,9
32,Sales,Sales Executive,No,Travel_Rarely,3,2,13,4,No,0,13
38,Research & Development,Research Director,No,Travel_Rarely,2,3,10,0,No,0,10
58,Research & Development,Healthcare Representative,Yes,Non-Travel,3,3,5,1,No,0,5
31,Research & Development,Research Scientist,Yes,Travel_Rarely,4,3,5,0,No,0,5
31,Human Resources,Human Resources,No,Travel_Rarely,1,3,2,1,No,0,2
45,Research & Development,Laboratory Technician,No,Travel_Frequently,1,3,24,9,No,0,24
31,Research & Development,Research Scientist,Yes,Travel_Rarely,4,1,2,2,No,0,2
33,Research & Development,Manager,No,Travel_Frequently,2,3,10,8,No,0,10
39,Research & Development,Manager,Yes,Travel_Rarely,1,3,21,11,No,0,21
43,Research & Development,Laboratory Technician,No,Travel_Frequently,4,3,8,1,No,0,8
49,Research & Development,Healthcare Representative,Yes,Travel_Rarely,3,3,7,0,No,0,7
52,Research & Development,Research Scientist,No,Travel_Rarely,2,2,8,7,Yes,1,8
27,Research & Development,Research Scientist,Yes,Travel_Rarely,2,2,4,1,No,0,4
32,Sales,Sales Executive,Yes,Travel_Rarely,2,3,13,11,No,0,13
27,Sales,Sales Executive,Yes,Travel_Rarely,3,3,5,0,No,0,5
31,Sales,Sales Executive,No,Travel_Rarely,4,3,7,1,No,0,7
32,Research & Development,Research Scientist,No,Travel_Rarely,4,2,7,0,No,0,7
28,Research & Development,Research Scientist,Yes,Travel_Rarely,4,2,3,2,Yes,1,3
30,Research & Development,Research Scientist,No,Travel_Rarely,4,3,10,1,No,0,10
31,Research & Development,Manufacturing Director,No,Travel_Frequently,3,3,10,8,No,0,10
39,Research & Development,Manager,No,Travel_Frequently,4,3,21,13,No,0,21
39,Sales,Sales Executive,Yes,Travel_Rarely,3,2,1,0,Yes,1,1
33,Sales,Sales Executive,No,Travel_Frequently,4,2,7,0,No,0,7
47,Research & Development,Research Director,No,Travel_Rarely,3,3,3,1,No,0,3
43,Research & Development,Laboratory Technician,No,Travel_Frequently,3,4,9,0,No,0,9
27,Sales,Sales Executive,Yes,Non-Travel,2,3,5,1,No,0,5
54,Research & Development,Research Scientist,No,Travel_Frequently,3,2,4,0,No,0,4
43,Research & Development,Healthcare Representative,No,Travel_Rarely,1,2,1,0,No,0,1
45,Research & Development,Research Scientist,No,Travel_Rarely,4,3,10,9,No,0,10
40,Sales,Sales Executive,Yes,Travel_Rarely,4,2,4,0,No,0,4
29,Research & Development,Laboratory Technician,Yes,Travel_Rarely,1,2,7,0,Yes,1,7
29,Research & Development,Laboratory Technician,No,Travel_Rarely,4,3,3,2,No,0,3
30,Sales,Sales Executive,No,Travel_Rarely,3,3,10,1,No,0,10
27,Sales,Sales Executive,No,Travel_Rarely,2,3,8,0,No,0,8
37,Research & Development,Manufacturing Director,No,Travel_Rarely,4,2,6,0,No,0,6
